paper_references,keywords,max_delta,avg_delta,min_delta,avg_trend,max_trend,min_trend,peso_fonte,class
0,10,0,0.0000,0,58.8000,99,0,10,relevant
0,10,0,0.0000,0,62.5000,92,0,10,relevant
0,10,0,0.0000,0,58.4000,90,0,10,irrelevant
0,10,0,0.0000,0,55.8000,92,0,10,relevant
0,9,0,0.0000,0,52.0000,89,0,10,irrelevant
0,9,0,0.0000,0,43.0000,89,0,10,relevant
0,10,0,0.0000,0,41.6000,100,0,10,relevant
0,11,0,0.0000,0,59.7273,99,0,10,relevant
0,11,0,0.0000,0,46.3636,92,0,10,relevant
0,11,0,0.0000,0,38.0909,93,0,10,relevant
0,13,0,0.0000,0,40.4615,91,0,10,relevant
0,9,0,0.0000,0,53.2222,92,0,10,relevant
0,10,0,0.0000,0,67.7000,92,0,10,relevant
0,9,0,0.0000,0,62.4444,92,0,10,relevant
0,8,0,0.0000,0,59.8750,92,0,10,relevant
0,9,0,0.0000,0,43.0000,89,0,10,irrelevant
0,9,0,0.0000,0,50.4444,89,0,10,relevant
0,10,0,0.0000,0,65.5000,99,0,10,relevant
0,13,0,0.0000,0,38.2308,90,0,10,relevant
0,11,0,0.0000,0,50.5455,100,0,10,relevant
0,10,0,0.0000,0,59.8000,99,0,10,relevant
0,8,0,0.0000,0,62.3750,92,0,10,relevant
0,10,0,0.0000,0,53.3000,89,0,10,relevant
0,11,0,0.0000,0,45.3636,92,0,10,relevant
0,10,0,0.0000,0,43.5000,91,0,10,relevant
0,12,0,0.0000,0,57.3333,99,0,10,relevant
0,10,0,0.0000,0,58.8000,99,0,10,relevant
0,10,0,0.0000,0,61.3000,99,0,10,relevant
0,10,0,0.0000,0,60.3000,92,0,10,relevant
0,13,0,0.0000,0,57.6154,100,0,10,relevant
0,9,0,0.0000,0,51.7778,89,0,10,relevant
0,11,0,0.0000,0,56.8182,92,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,9,0,0.0000,0,55.4444,92,0,10,relevant
0,10,0,0.0000,0,58.1000,92,0,0,irrelevant
0,6,0,0.0000,0,51.3333,90,0,0,irrelevant
0,7,0,0.0000,0,63.0000,98,0,0,relevant
0,10,0,0.0000,0,56.1000,93,0,0,relevant
0,9,0,0.0000,0,57.0000,100,0,0,relevant
0,7,0,0.0000,0,58.1429,90,0,0,irrelevant
0,11,0,0.0000,0,35.2727,90,0,0,relevant
0,10,0,0.0000,0,24.1000,82,0,0,irrelevant
0,8,0,0.0000,0,43.2500,93,0,0,relevant
0,5,0,0.0000,0,59.6000,89,0,0,irrelevant
0,10,0,0.0000,0,60.3000,92,0,0,relevant
0,10,0,0.0000,0,48.0000,90,0,0,relevant
0,10,0,0.0000,0,53.2000,98,0,0,irrelevant
0,9,0,0.0000,0,53.4444,98,0,0,relevant
0,12,0,0.0000,0,43.4167,92,0,0,relevant
0,11,0,0.0000,0,65.0000,91,0,10,irrelevant
0,9,0,0.0000,0,51.7778,89,0,10,irrelevant
22,11,0,0.0000,0,56.8182,92,0,10,relevant
0,9,0,0.0000,0,66.4444,99,0,10,irrelevant
0,9,0,0.0000,0,60.6667,92,0,10,irrelevant
0,8,0,0.0000,0,68.2500,92,0,10,irrelevant
0,10,0,0.0000,0,67.7000,92,0,10,relevant
0,11,0,0.0000,0,56.8182,92,0,10,relevant
0,10,0,0.0000,0,54.6000,92,0,10,irrelevant
0,11,0,0.0000,0,62.1818,89,0,10,irrelevant
0,7,0,0.0000,0,60.0000,92,0,10,irrelevant
0,11,0,0.0000,0,56.8182,92,0,10,irrelevant
0,12,0,0.0000,0,55.1667,100,0,10,irrelevant
0,10,0,0.0000,0,64.9000,92,0,10,irrelevant
0,8,0,0.0000,0,68.2500,92,0,10,relevant
0,10,0,0.0000,0,44.3000,92,0,10,irrelevant
0,10,0,0.0000,0,59.8000,99,0,10,irrelevant
0,6,0,0.0000,0,70.0000,92,0,10,irrelevant
0,11,0,0.0000,0,56.8182,92,0,10,irrelevant
0,9,0,0.0000,0,59.3333,92,0,10,irrelevant
0,6,0,0.0000,0,68.8333,92,0,10,irrelevant
0,7,0,0.0000,0,58.5714,92,0,10,relevant
0,10,0,0.0000,0,64.9000,92,0,10,relevant
0,10,0,0.0000,0,68.0000,99,0,10,irrelevant
0,9,0,0.0000,0,61.8889,89,0,10,irrelevant
0,9,0,0.0000,0,55.4444,92,0,10,irrelevant
0,10,0,0.0000,0,58.1000,92,0,10,relevant
0,10,0,0.0000,0,55.3000,91,0,10,relevant
0,10,0,0.0000,0,55.7000,89,0,10,relevant
0,11,0,0.0000,0,59.0000,92,0,10,irrelevant
0,11,0,0.0000,0,65.8182,99,0,10,irrelevant
0,9,0,0.0000,0,51.7778,89,0,10,irrelevant
0,10,0,0.0000,0,62.5000,92,0,10,irrelevant
0,11,0,0.0000,0,51.0000,93,0,10,irrelevant
0,8,0,0.0000,0,62.3750,92,0,10,irrelevant
0,11,0,0.0000,0,63.5455,99,0,10,irrelevant
0,8,0,0.0000,0,59.7500,91,0,10,relevant
0,10,0,0.0000,0,55.7000,89,0,10,irrelevant
0,12,0,0.0000,0,59.2500,100,0,10,irrelevant
0,11,0,0.0000,0,56.8182,92,0,10,irrelevant
0,10,0,0.0000,0,59.8000,99,0,10,irrelevant
0,11,0,0.0000,0,54.8182,89,0,10,relevant
0,7,0,0.0000,0,58.5714,92,0,10,irrelevant
0,11,0,0.0000,0,65.0909,92,0,10,irrelevant
0,9,0,0.0000,0,55.4444,92,0,10,irrelevant
0,10,0,0.0000,0,54.9000,89,0,10,irrelevant
0,11,0,0.0000,0,35.2727,90,0,10,irrelevant
0,10,0,0.0000,0,49.9000,92,0,10,relevant
0,11,0,0.0000,0,29.4545,83,0,10,relevant
0,10,0,0.0000,0,66.9000,90,0,10,irrelevant
0,11,0,0.0000,0,61.0909,92,0,10,irrelevant
0,8,0,0.0000,0,32.7500,90,0,9,irrelevant
0,6,0,0.0000,0,58.5000,100,0,9,irrelevant
0,5,0,0.0000,0,52.4000,100,0,9,irrelevant
0,10,0,0.0000,0,56.6000,90,0,9,relevant
0,11,0,0.0000,0,61.6364,92,0,9,relevant
0,10,0,0.0000,0,61.1000,91,0,9,irrelevant
0,10,0,0.0000,0,65.5000,92,0,9,irrelevant
0,10,0,0.0000,0,50.6000,99,0,9,irrelevant
0,11,0,0.0000,0,61.1818,92,0,9,irrelevant
0,10,0,0.0000,0,51.7000,90,0,9,relevant
0,13,0,0.0000,0,47.6154,100,0,9,relevant
0,11,0,0.0000,0,62.5455,100,0,9,irrelevant
0,12,0,0.0000,0,41.4167,90,0,9,irrelevant
0,11,0,0.0000,0,57.4545,99,0,9,irrelevant
0,10,0,0.0000,0,63.7000,92,0,9,relevant
0,8,0,0.0000,0,74.1250,92,0,9,relevant
0,9,0,0.0000,0,57.8889,92,0,9,irrelevant
0,10,0,0.0000,0,56.6000,90,0,9,irrelevant
0,9,0,0.0000,0,66.4444,99,0,9,irrelevant
0,8,0,0.0000,0,50.0000,90,0,9,relevant
0,10,0,0.0000,0,63.3000,92,0,9,relevant
0,10,0,0.0000,0,46.6000,89,0,9,irrelevant
0,10,0,0.0000,0,58.6000,90,0,9,irrelevant
0,11,0,0.0000,0,56.3636,90,0,9,irrelevant
0,10,0,0.0000,0,65.2000,99,0,9,irrelevant
0,10,0,0.0000,0,63.2000,99,0,9,irrelevant
0,10,0,0.0000,0,58.9000,92,0,9,irrelevant
0,10,0,0.0000,0,68.0000,99,0,9,irrelevant
0,11,0,0.0000,0,64.0909,100,0,9,irrelevant
0,10,0,0.0000,0,56.3000,99,0,9,irrelevant
0,12,0,0.0000,0,62.9167,100,0,9,relevant
0,11,0,0.0000,0,61.5455,92,0,9,irrelevant
0,10,0,0.0000,0,49.9000,92,0,9,irrelevant
0,13,0,0.0000,0,66.6923,100,0,9,irrelevant
0,0,0,0.0000,0,0.0000,0,0,9,irrelevant
0,0,0,0.0000,0,0.0000,0,0,9,irrelevant
18,4,0,-2.7500,-9,62.2500,100,0,9,irrelevant
18,8,0,-8.5000,-25,59.7500,100,0,9,relevant
20,8,0,-8.5000,-25,59.7500,100,0,9,relevant
21,8,0,-8.5000,-25,59.7500,100,0,9,irrelevant
0,4,0,-6.7500,-18,50.0000,100,0,9,irrelevant
2,3,0,-11.3333,-25,66.6667,100,0,9,irrelevant
9,3,0,-11.3333,-18,53.3333,100,0,9,irrelevant
15,9,0,-7.5556,-25,53.1111,100,0,9,irrelevant
8,7,0,-11.7143,-25,64.7143,100,0,9,relevant
15,3,0,-11.3333,-25,66.6667,100,0,9,relevant
2,0,0,0.0000,0,0.0000,0,0,9,relevant
12,10,0,-17.2000,-88,62.6000,100,0,9,relevant
7,3,0,-11.3333,-25,66.6667,100,0,9,irrelevant
18,6,0,-4.8333,-18,58.1667,100,0,9,irrelevant
26,6,21,1.0000,-18,41.3333,100,0,9,relevant
11,0,0,0.0000,0,0.0000,0,0,9,irrelevant
13,6,0,-11.0000,-25,65.5000,100,0,9,irrelevant
11,2,0,-9.0000,-18,50.0000,100,0,9,relevant
13,7,0,-10.0000,-25,61.2857,100,0,9,relevant
25,0,0,0.0000,0,0.0000,0,0,9,irrelevant
11,6,0,-11.0000,-25,65.5000,100,0,9,irrelevant
13,12,21,-5.0000,-25,57.1667,100,0,9,relevant
80,0,0,0.0000,0,0.0000,0,0,9,irrelevant
264,0,0,0.0000,0,0.0000,0,0,9,relevant
0,0,0,0.0000,0,0.0000,0,0,9,irrelevant
0,0,0,0.0000,0,0.0000,0,0,9,irrelevant
0,0,0,0.0000,0,0.0000,0,0,9,irrelevant
67,0,0,0.0000,0,0.0000,0,0,9,relevant
54,0,0,0.0000,0,0.0000,0,0,9,irrelevant
34,9,32,0.4444,-18,60.8889,100,0,9,relevant
0,8,100,10.7500,-11,26.3750,100,0,8,irrelevant
0,2,31,15.5000,0,73.0000,98,48,8,irrelevant
0,0,0,0.0000,0,0.0000,0,0,8,irrelevant
0,10,100,12.9000,-31,20.0000,100,0,8,irrelevant
1,16,31,-1.6875,-84,29.3125,100,0,0,relevant
0,5,7,-1.2000,-9,52.8000,100,0,0,relevant
9,21,31,-1.1905,-84,39.5714,100,0,0,irrelevant
7,19,31,-2.4211,-84,32.4211,100,0,0,relevant
12,18,31,-1.4444,-84,31.5556,100,0,0,relevant
4,17,100,4.7059,-84,38.7647,100,0,0,relevant
8,13,31,-2.0769,-84,36.0769,100,0,0,relevant
30,8,10,-3.7500,-18,48.5000,100,0,9,relevant
28,18,100,2.7778,-34,40.1667,100,0,9,relevant
19,6,10,-5.3333,-32,48.3333,100,0,9,relevant
20,8,10,-20.2500,-100,44.0000,100,0,9,relevant
22,8,10,-3.7500,-18,48.5000,100,0,9,relevant
25,8,69,5.3750,-32,35.6250,100,0,9,relevant
8,7,10,0.8571,-4,26.4286,95,0,9,irrelevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,7,0,-5.4286,-26,41.7143,100,0,10,irrelevant
0,2,0,-4.0000,-8,48.5000,97,0,10,relevant
0,6,2,-5.6667,-26,75.0000,100,0,10,relevant
0,9,2,-6.1111,-26,68.4444,100,0,10,relevant
0,9,2,-6.1111,-26,68.4444,100,0,10,relevant
0,6,21,-1.6667,-26,57.5000,100,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,12,10,-4.5833,-26,67.1667,100,0,10,relevant
0,7,21,3.4286,-10,48.2857,100,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,9,2,-6.1111,-26,68.4444,100,0,10,relevant
0,3,2,0.0000,-3,84.3333,100,58,10,relevant
0,6,10,-5.6667,-26,64.5000,100,0,10,relevant
0,9,2,-6.1111,-26,68.4444,100,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,15,37,-0.8000,-26,64.1333,100,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,3,0,-11.3333,-26,65.6667,100,0,10,relevant
0,7,10,0.8571,-10,37.8571,100,0,10,relevant
0,8,100,12.0000,-6,36.3750,100,0,10,relevant
0,3,2,0.0000,-3,84.3333,100,58,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,irrelevant
0,5,33,7.6000,-8,64.6000,100,0,10,relevant
0,7,100,15.2857,-3,27.1429,100,0,10,relevant
0,2,-3,-8.0000,-13,99.0000,100,98,10,relevant
0,5,0,-5.2000,-13,59.6000,100,0,10,irrelevant
0,11,29,-4.5455,-25,56.7273,100,0,10,relevant
0,2,0,-1.5000,-3,55.5000,93,18,10,relevant
0,8,31,1.0000,-12,42.6250,100,0,10,relevant
0,12,0,-3.0833,-12,37.0833,100,0,10,relevant
0,7,0,-22.5714,-88,77.5714,100,0,10,relevant
0,5,0,-2.2000,-8,38.6000,100,0,10,relevant
0,7,0,-2.8571,-9,41.8571,100,0,10,relevant
0,6,0,-3.8333,-12,48.8333,100,0,10,relevant
0,8,0,-1.8750,-8,36.0000,100,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,3,2,0.0000,-3,84.3333,100,58,10,relevant
0,8,5,-4.8750,-18,51.1250,100,0,10,relevant
0,5,0,-2.2000,-8,38.6000,100,0,10,relevant
0,5,0,-2.2000,-8,38.6000,100,0,10,relevant
0,3,3,-2.6667,-11,60.0000,100,0,10,relevant
0,5,0,-2.2000,-8,42.2000,100,0,10,relevant
0,4,0,-2.7500,-8,48.2500,100,0,10,relevant
0,18,12,-7.0556,-93,45.8889,100,0,10,relevant
0,12,0,-10.5000,-84,60.0000,100,0,10,relevant
0,7,8,-0.4286,-8,38.2857,100,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,8,8,0.5000,-8,55.0000,100,0,10,relevant
0,8,0,-2.7500,-11,38.8750,100,0,10,relevant
0,8,63,5.0000,-12,36.6250,100,0,10,relevant
0,7,0,-0.8571,-3,20.7143,93,0,10,relevant
0,6,8,-0.5000,-8,44.6667,100,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,2,0,-1.5000,-3,55.5000,93,18,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,3,8,-1.0000,-8,89.3333,100,75,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,5,0,-9.4000,-24,78.6000,100,0,10,relevant
0,11,8,-0.6364,-11,50.7273,100,0,10,relevant
0,4,0,-3.5000,-11,52.7500,100,0,10,relevant
0,8,4,-2.1250,-11,58.3750,100,0,10,relevant
0,9,31,3.1111,-8,35.1111,100,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,4,0,-3.5000,-11,52.7500,100,0,10,relevant
0,9,31,3.1111,-8,35.1111,100,0,10,relevant
0,0,0,0.0000,0,0.0000,0,0,10,relevant
0,12,11,-7.4167,-84,52.5833,100,0,10,relevant
0,4,0,-3.5000,-11,52.7500,100,0,10,relevant
0,7,0,-3.1429,-11,44.4286,100,0,10,relevant
0,5,0,-2.2000,-8,38.6000,100,0,10,relevant
0,16,94,2.6875,-32,45.3125,100,0,10,relevant
0,3,31,7.6667,-5,80.3333,100,48,10,relevant
0,4,-3,-13.7500,-28,98.2500,100,93,10,relevant
